Date	Flight Number	Departure Airport	Arrival Airport	Airline
Jul 1, 2023	    ABC123	New York, USA	London, UK	Delta Airlines
Jul 3, 2023	    XYZ456	London, UK	Tokyo, Japan	British Airways
Jul 5, 2023	    DEF789	Sydney, Australia	Dubai, UAE	Emirates
Jul 7, 2023	    GHI123	Dubai, UAE	Johannesburg, SA	Qatar Airways
Jul 9, 2023	    JKL456	Mexico City, Mexico	Madrid, Spain	Iberia
Jul 11, 2023	MNO789	Paris, France	New York, USA	Air France
Jul 13, 2023	PQR123	Istanbul, Turkey	Mumbai, India	Turkish Airlines
Jul 15, 2023	STU456	Los Angeles, USA	Gdask, Poland	American Airlines
Jul 17, 2023	VWX789	Beijing, China	Sydney, Australia	Air China
Jul 19, 2023	YZA123	Sao Paulo, Brazil	Frankfurt, Germany	Lufthansa
Jul 21, 2023	BCD456	Amsterdam, Netherlands	Hong Kong, China	KLM Royal Dutch Airlines
Jul 23, 2023	EFG789	Hong Kong, China	Singapore, Singapore	Cathay Pacific
Jul 25, 2023	HIJ123	Naples, Italy	Bangkok, Thailand	Aeroflot
Jul 27, 2023	KLM456	Toronto, Canada	Sydney, Australia	Air Canada
Jul 29, 2023	NOP789	Seoul, South Korea	Sydney, Australia	Korean Air
Aug 1, 2023	    QRS123	Mumbai, India	Tokyo, Japan	Air India
Aug 3, 2023	    TUV456	Rio de Janeiro, Brazil	Rome, Italy	Alitalia
Aug 5, 2023	    WXY789	Helsinki, Finland	Los Angeles, USA	Finnair
Aug 7, 2023	    ZAB123	Bangkok, Thailand	Sydney, Australia	Thai Airways
Aug 9, 2023	    CDE456	Sydney, Australia	Vancouver, Canada	Qantas
Aug 11, 2023	FGH789	Naples, Italy	Munich, Germany	Lufthansa
Aug 13, 2023	IJK123	Istanbul, Turkey	Toronto, Canada	Turkish Airlines
Aug 15, 2023	LMN456	Paris, France	Gdask, Poland	Air France
Aug 17, 2023	OPQ789	Naples, Italy	Beijing, China	Delta Airlines
Aug 19, 2023	RST123	Tokyo, Japan	San Francisco, USA	ANA All Nip
Apr 1, 2023	    AC216	Toronto, Canada	Vancouver, Canada	Air Canada
Apr 2, 2023	    UA104	Los Angeles, USA	New York, USA	United Airlines
Apr 3, 2023	    BA249	London, UK	Sydney, Australia	British Airways
Apr 4, 2023	    AF055	Paris, France	Mumbai, India	Air France
Apr 5, 2023	    SQ448	Singapore, Singapore	Gdansk, Poland	Singapore Airlines
Apr 6, 2023	    LH414	Frankfurt, Germany	Beijing, China	Lufthansa
Apr 7, 2023	    AA122	Dallas, USA	London, UK	American Airlines
Apr 8, 2023	    CZ302	Beijing, China	Naples, Italy	China Southern Airlines
Apr 9, 2023	    EK905	Dubai, UAE	New York, USA	Emirates
Apr 10, 2023	TK181	Istanbul, Turkey	Gdansk, Poland	Turkish Airlines
Apr 11, 2023	QF009	Sydney, Australia	Los Angeles, USA	Qantas
Apr 12, 2023	KL121	Amsterdam, Netherlands	Naples, Italy	KLM
Apr 13, 2023	CX888	Hong Kong, Hong Kong	San Francisco, USA	Cathay Pacific
Apr 14, 2023	DL201	Atlanta, USA	Paris, France	Delta Airlines
Apr 15, 2023	MU588	Naples, Italy	New York, USA	China Eastern Airlines
Apr 16, 2023	AY141	Helsinki, Finland	New York, USA	Finnair
Apr 17, 2023	KE065	Seoul, South Korea	Los Angeles, USA	Korean Air
Apr 18, 2023	JL007	Tokyo, Japan	New York, USA	Japan Airlines
Apr 19, 2023	TG321	Bangkok, Thailand	London, UK	Thai Airways
Apr 20, 2023	EY101	Abu Dhabi, UAE	Gdansk, Poland	Etihad Airways
Apr 21, 2023	CX465	Hong Kong, Hong Kong	Bangkok, Thailand	Cathay Pacific
Apr 22, 2023	UA781	San Francisco, USA	Tokyo, Japan	United Airlines
Apr 23, 2023	KL701	Amsterdam, Netherlands	New York, USA	KLM
Apr 24, 2023	AC220	Montreal, Canada	London, UK	Air Canada
Apr 25, 2023	EK415	Sydney, Australia	Gdansk, Poland	Emirates
